btnSlRepeat,		 hash value is 		, 1 
btnSrUp,		 hash value is 		, 93 
btnSrDown,		 hash value is 		, 13 
btnSrSingle,		 hash value is 		, 145 
btnSrDouble,		 hash value is 		, 164 
btnSrLongPress,		 hash value is 		, 7 
btnSrRepeat,		 hash value is 		, 56 
lockScreenTimeout,		 hash value is 		, 93 
lockScreenNavigate,		 hash value is 		, 101 
hangScreenAngle,		 hash value is 		, 33 
hangScreenTimeout,		 hash value is 		, 68 
hangScreenNavigate,		 hash value is 		, 165 
homeScreenNavigate,		 hash value is 		, 138 
cradleInsertNotification,		 hash value is 		, 77 
cradleRemoveNotification,		 hash value is 		, 102 
volumeSettingNotification,		 hash value is 		, 34 
visibleIndicator,		 hash value is 		, 160 
application,		 hash value is 		, 92 
device,		 hash value is 		, 145 
beeperVolume,		 hash value is 		, 123 
